Found 200 images and 200 masks.

===== Training with 1 positive/negative clicks =====
[Epoch 20] Train=3.5068 | Val=0.2140 | Dice=0.4948 | IoU=0.4636 | Acc=0.9485 | Sens=0.9239 | Spec=0.9633
[Epoch 21] Train=3.3549 | Val=0.2105 | Dice=0.4991 | IoU=0.4681 | Acc=0.9488 | Sens=0.9345 | Spec=0.9596
[Epoch 22] Train=3.3905 | Val=0.2090 | Dice=0.4993 | IoU=0.4675 | Acc=0.9483 | Sens=0.9353 | Spec=0.9575
[Epoch 23] Train=3.1727 | Val=0.1966 | Dice=0.4895 | IoU=0.4563 | Acc=0.9476 | Sens=0.8952 | Spec=0.9762
[Epoch 24] Train=2.9517 | Val=0.2014 | Dice=0.4889 | IoU=0.4565 | Acc=0.9451 | Sens=0.9086 | Spec=0.9658
[Epoch 25] Train=3.0820 | Val=0.2069 | Dice=0.5002 | IoU=0.4687 | Acc=0.9473 | Sens=0.9364 | Spec=0.9557
[Epoch 26] Train=2.8811 | Val=0.1896 | Dice=0.4997 | IoU=0.4697 | Acc=0.9513 | Sens=0.9388 | Spec=0.9605
[Epoch 27] Train=2.9551 | Val=0.2185 | Dice=0.4994 | IoU=0.4653 | Acc=0.9411 | Sens=0.9497 | Spec=0.9411
[Epoch 28] Train=3.0299 | Val=0.2236 | Dice=0.4999 | IoU=0.4661 | Acc=0.9367 | Sens=0.9620 | Spec=0.9282
[Epoch 29] Train=2.9650 | Val=0.1831 | Dice=0.4975 | IoU=0.4662 | Acc=0.9492 | Sens=0.9194 | Spec=0.9666
[Epoch 30] Train=3.1445 | Val=0.1742 | Dice=0.4946 | IoU=0.4639 | Acc=0.9495 | Sens=0.9136 | Spec=0.9696
[Epoch 31] Train=3.0646 | Val=0.2473 | Dice=0.4945 | IoU=0.4576 | Acc=0.9244 | Sens=0.9572 | Spec=0.9128
[Epoch 32] Train=2.8822 | Val=0.1737 | Dice=0.5006 | IoU=0.4722 | Acc=0.9535 | Sens=0.9193 | Spec=0.9741
[Epoch 33] Train=2.8793 | Val=0.2004 | Dice=0.4997 | IoU=0.4672 | Acc=0.9440 | Sens=0.9389 | Spec=0.9504
[Epoch 34] Train=2.7415 | Val=0.1807 | Dice=0.5039 | IoU=0.4728 | Acc=0.9499 | Sens=0.9378 | Spec=0.9593
